==================================================
Flight started: 2026-08-24 22:14:19
==================================================
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:20 [BAT] Percentage: 100, Voltage: 16.20V
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:20 [BAT] Percentage: 100, Voltage: 16.20V
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:20 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [BAT] Percentage: 100, Voltage: 16.20V
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [BAT] Percentage: 100, Voltage: 16.20V
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.11m
22:14:21 [PROG] Health OK
22:14:21 [BAT] Percentage: 100, Voltage: 16.20V
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [PROG] Mission uploaded
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [BAT] Percentage: 100, Voltage: 16.20V
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [BAT] Percentage: 100, Voltage: 16.20V
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.10m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:21 [POS] Lat: 47.397970, Lon: 8.546166, Alt: 0.09m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.09m
22:14:22 [BAT] Percentage: 100, Voltage: 16.20V
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.09m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.09m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.09m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.09m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.09m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.08m
22:14:22 [POS] Lat: 47.397970, Lon: 8.546165, Alt: 0.08m
