==================================================
Flight started: 2026-08-25 11:08:46
==================================================
11:08:48 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.27m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.27m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.27m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.27m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.27m
11:08:48 [BAT] Percentage: 100, Voltage: 16.20V
11:08:48 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.28m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.28m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.28m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.28m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.28m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.28m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546161, Alt: -0.28m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546161, Alt: -0.29m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546161, Alt: -0.29m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546161, Alt: -0.29m
11:08:48 [BAT] Percentage: 100, Voltage: 16.20V
11:08:48 [POS] Lat: 47.397970, Lon: 8.546161, Alt: -0.29m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546161, Alt: -0.29m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546161, Alt: -0.29m
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.29m
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.29m
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.30m
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.30m
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.30m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546161, Alt: -0.30m
11:08:48 [POS] Lat: 47.397970, Lon: 8.546161, Alt: -0.31m
11:08:48 [PROG] Health OK
11:08:48 [BAT] Percentage: 100, Voltage: 16.20V
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.31m
11:08:48 [PROG] Mission uploaded
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.31m
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.31m
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.32m
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.32m
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.32m
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.32m
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.33m
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.33m
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.33m
11:08:48 [BAT] Percentage: 100, Voltage: 16.20V
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.33m
11:08:48 [POS] Lat: 47.397971, Lon: 8.546161, Alt: -0.33m
