==================================================
Flight started: 2026-08-25 14:26:20
==================================================
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [BAT] Percentage: 100, Voltage: 16.20V
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [BAT] Percentage: 100, Voltage: 16.20V
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [BAT] Percentage: 100, Voltage: 16.20V
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.44m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.45m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.45m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.45m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.45m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.46m
14:26:21 [BAT] Percentage: 100, Voltage: 16.20V
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.46m
14:26:21 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.46m
14:26:22 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.46m
14:26:22 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.46m
14:26:22 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.47m
14:26:22 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.47m
14:26:22 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.47m
14:26:22 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.47m
14:26:22 [POS] Lat: 47.397972, Lon: 8.546164, Alt: -0.47m
14:26:22 [PROG] Health OK
14:26:22 [BAT] Percentage: 100, Voltage: 16.20V
