==================================================
Flight started: 2026-09-17 10:34:05
==================================================
10:34:08 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.01m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.02m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [BAT] Percentage: 97, Voltage: 16.11V
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:09 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:10 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.03m
10:34:10 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.04m
10:34:10 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.04m
10:34:10 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.04m
10:34:10 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.04m
10:34:10 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.04m
10:34:10 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.05m
10:34:10 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.05m
10:34:10 [POS] Lat: 47.397970, Lon: 8.546162, Alt: 0.05m
10:34:10 [POS] Lat: 47.397971, Lon: 8.546162, Alt: 0.05m
10:34:10 [POS] Lat: 47.397971, Lon: 8.546162, Alt: 0.06m
10:34:10 [POS] Lat: 47.397971, Lon: 8.546162, Alt: 0.06m
10:34:10 [POS] Lat: 47.397971, Lon: 8.546162, Alt: 0.06m
10:34:10 [POS] Lat: 47.397971, Lon: 8.546163, Alt: 0.07m
10:34:10 [POS] Lat: 47.397971, Lon: 8.546163, Alt: 0.07m
10:34:10 [POS] Lat: 47.397971, Lon: 8.546163, Alt: 0.08m
10:34:10 [POS] Lat: 47.397971, Lon: 8.546163, Alt: 0.08m
10:34:10 [POS] Lat: 47.397971, Lon: 8.546163, Alt: 0.08m
10:34:10 [POS] Lat: 47.397971, Lon: 8.546163, Alt: 0.09m
10:34:10 [POS] Lat: 47.397971, Lon: 8.546163, Alt: 0.10m
10:34:10 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.10m
10:34:10 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.11m
10:34:10 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.12m
10:34:10 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.13m
10:34:10 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.13m
10:34:10 [POS] Lat: 47.397973, Lon: 8.546163, Alt: 0.15m
10:34:10 [POS] Lat: 47.397973, Lon: 8.546163, Alt: 0.15m
10:34:10 [POS] Lat: 47.397973, Lon: 8.546163, Alt: 0.17m
10:34:10 [POS] Lat: 47.397973, Lon: 8.546163, Alt: 0.18m
10:34:10 [POS] Lat: 47.397974, Lon: 8.546163, Alt: 0.20m
10:34:10 [POS] Lat: 47.397974, Lon: 8.546163, Alt: 0.21m
10:34:10 [POS] Lat: 47.397974, Lon: 8.546163, Alt: 0.23m
10:34:10 [POS] Lat: 47.397975, Lon: 8.546163, Alt: 0.24m
10:34:10 [POS] Lat: 47.397975, Lon: 8.546163, Alt: 0.26m
10:34:10 [POS] Lat: 47.397975, Lon: 8.546163, Alt: 0.28m
10:34:10 [POS] Lat: 47.397976, Lon: 8.546163, Alt: 0.30m
10:34:10 [POS] Lat: 47.397976, Lon: 8.546163, Alt: 0.32m
10:34:10 [POS] Lat: 47.397977, Lon: 8.546163, Alt: 0.34m
10:34:10 [POS] Lat: 47.397977, Lon: 8.546163, Alt: 0.36m
10:34:10 [POS] Lat: 47.397978, Lon: 8.546163, Alt: 0.39m
10:34:10 [POS] Lat: 47.397978, Lon: 8.546163, Alt: 0.42m
10:34:10 [POS] Lat: 47.397979, Lon: 8.546163, Alt: 0.45m
10:34:10 [POS] Lat: 47.397979, Lon: 8.546163, Alt: 0.48m
10:34:10 [POS] Lat: 47.397979, Lon: 8.546162, Alt: 0.52m
10:34:10 [POS] Lat: 47.397980, Lon: 8.546162, Alt: 0.55m
10:34:10 [POS] Lat: 47.397981, Lon: 8.546162, Alt: 0.59m
10:34:10 [POS] Lat: 47.397981, Lon: 8.546162, Alt: 0.63m
10:34:10 [POS] Lat: 47.397982, Lon: 8.546162, Alt: 0.68m
